origin;destination;airline;departure;arrival;price
GRU-Brasil;LIS-Portugal;Qatar Airways;25/04/2022 08:00:00 (-03:00);26/04/2022 05:00:00 (-01:00);3651.00
NRT-Japão;PEK-China;American Airlines;06/04/2022 04:00:00 (-04:00);07/04/2022 01:00:00 (+03:00);4208.00
YYC-Canada;LIS-Portugal;Lufthansa;16/04/2022 10:00:00 (-03:00);17/04/2022 10:00:00 (+05:00);2355.00
PEK-China;LIS-Portugal;American Airlines;18/04/2022 20:00:00 (-09:00);18/04/2022 22:00:00 (-11:00);4678.00
MEX-México;GRU-Brasil;Lufthansa;13/04/2022 22:00:00 (-04:00);14/04/2022 04:00:00 (-09:00);3943.00
JFK-Estados Unidos;GRU-Brasil;AirFrance;27/04/2022 22:00:00 (-01:00);28/04/2022 08:00:00 (-05:00);4995.00
NRT-Japão;FEN-Brasil;Emirates;02/04/2022 10:00:00 (+05:00);02/04/2022 09:00:00 (-08:00);4854.00
JFK-Estados Unidos;MEL-Austrália;United Airlines;04/04/2022 05:00:00 (+12:00);04/04/2022 17:00:00 (+08:00);4746.00
GRU-Brasil;FEN-Brasil;LATAM Airlines;26/04/2022 22:00:00 (-09:00);28/04/2022 01:00:00 (+05:00);3226.00
GRU-Brasil;MEL-Austrália;AirFrance;08/04/2022 05:00:00 (+02:00);08/04/2022 13:00:00 (+02:00);4061.00
FEN-Brasil;MEL-Austrália;Gol Airlines;21/04/2022 16:00:00 (+04:00);22/04/2022 05:00:00 (+11:00);2659.00
NRT-Japão;PEK-China;AirFrance;16/04/2022 21:00:00 (+01:00);17/04/2022 18:00:00 (+09:00);2285.00
NRT-Japão;LIS-Portugal;LATAM Airlines;18/04/2022 02:00:00 (+04:00);19/04/2022 01:00:00 (+03:00);3608.00
GRU-Brasil;YYC-Canada;Lufthansa;21/04/2022 18:00:00 (+09:00);21/04/2022 18:00:00 (-08:00);3547.00
PEK-China;GRU-Brasil;Gol Airlines;13/04/2022 14:00:00 (+06:00);14/04/2022 00:00:00 (-04:00);3139.00
JFK-Estados Unidos;NRT-Japão;Ethiopian Airlines;02/04/2022 13:00:00 (+06:00);02/04/2022 19:00:00 (-10:00);4937.00
NRT-Japão;FEN-Brasil;AirFrance;22/04/2022 03:00:00 (-04:00);23/04/2022 05:00:00 (+12:00);4117.00
MEX-México;YYC-Canada;Qatar Airways;27/04/2022 04:00:00 (+02:00);28/04/2022 13:00:00 (+12:00);3005.00
PEK-China;YYC-Canada;Gol Airlines;22/04/2022 20:00:00 (-11:00);24/04/2022 10:00:00 (+12:00);2747.00
JFK-Estados Unidos;KIN-Jamaica;Qatar Airways;13/04/2022 07:00:00 (-11:00);14/04/2022 02:00:00 (+06:00);3502.00
KIN-Jamaica;LIS-Portugal;American Airlines;06/04/2022 19:00:00 (+09:00);07/04/2022 01:00:00 (+01:00);3062.00
MEX-México;YYC-Canada;LATAM Airlines;30/04/2022 13:00:00 (+07:00);01/05/2022 08:00:00 (+11:00);4846.00
NRT-Japão;YYC-Canada;Gol Airlines;09/04/2022 11:00:00 (+05:00);09/04/2022 18:00:00 (+03:00);2195.00
KIN-Jamaica;MEL-Austrália;AirFrance;27/04/2022 08:00:00 (-08:00);27/04/2022 09:00:00 (-09:00);3540.00
JFK-Estados Unidos;MEL-Austrália;Qatar Airways;11/04/2022 14:00:00 (-07:00);12/04/2022 06:00:00 (+01:00);3510.00
MEX-México;NRT-Japão;Qatar Airways;20/04/2022 04:00:00 (-01:00);21/04/2022 00:00:00 (+09:00);2405.00
NRT-Japão;MEL-Austrália;Gol Airlines;26/04/2022 06:00:00 (-06:00);27/04/2022 15:00:00 (+11:00);4640.00
GRU-Brasil;YYC-Canada;United Airlines;09/04/2022 20:00:00 (-09:00);11/04/2022 14:00:00 (+11:00);2957.00
JFK-Estados Unidos;PEK-China;Ethiopian Airlines;28/04/2022 23:00:00 (+06:00);30/04/2022 02:00:00 (+09:00);2419.00
NRT-Japão;PEK-China;AirCanada;25/04/2022 11:00:00 (-12:00);26/04/2022 21:00:00 (Z);2088.00
JFK-Estados Unidos;MEX-México;Gol Airlines;10/04/2022 07:00:00 (+03:00);10/04/2022 09:00:00 (-10:00);4319.00
JFK-Estados Unidos;FEN-Brasil;LATAM Airlines;13/04/2022 21:00:00 (-06:00);14/04/2022 16:00:00 (+04:00);3951.00
JFK-Estados Unidos;LIS-Portugal;Emirates;08/04/2022 13:00:00 (-09:00);09/04/2022 02:00:00 (+01:00);2348.00
PEK-China;FEN-Brasil;Gol Airlines;27/04/2022 16:00:00 (Z);28/04/2022 03:00:00 (+01:00);4152.00
KIN-Jamaica;MEL-Austrália;Emirates;27/04/2022 15:00:00 (+05:00);28/04/2022 18:00:00 (+12:00);3600.00
